,Pearson's Correlation Coefficient
RNU6-630P,-0.024
RNU6-926P,-0.024
RN7SKP233,-0.024
ENSG00000276426,-0.024
GAPDHP50,-0.024
MIR5579,-0.024
ELOCP6,-0.024
ENSG00000252352,-0.024
SLC16A12-AS1,-0.024
MIR708,-0.024
ZSCAN25,-0.024
IFNB1,-0.024
RNU6-366P,-0.024
RNU7-137P,-0.024
NTAN1,-0.024
PDLIM1P2,-0.024
RNU6-982P,-0.024
LDHBP2,-0.024
PPIAP93,-0.024
RPS23P4,-0.024
ENSG00000264750,-0.024
USP8,-0.024
SNORA11C,-0.024
ENSG00000234087,-0.024
ENSG00000232682,-0.024
ENSG00000207488,-0.024
TM9SF2,-0.024
OFD1P3Y,-0.024
LINC02733,-0.024
ENSG00000283132,-0.024
SLC35F3-AS1,-0.024
LINC02737,-0.024
LINC02115,-0.024
RNA5SP121,-0.024
LGALS13,-0.024
ENSG00000227700,-0.024
ENSG00000201329,-0.024
MIR202,-0.024
RNU6-1015P,-0.024
ENSG00000250126,-0.024
ENSG00000250034,-0.024
ENSG00000243276,-0.024
ENSG00000279704,-0.024
ENSG00000225233,-0.024
SS18L2P1,-0.024
ENSG00000229010,-0.024
ENSG00000212321,-0.024
ENSG00000251488,-0.024
RN7SL147P,-0.024
RN7SL503P,-0.024
RN7SL591P,-0.024
SV2C-AS1,-0.024
MIR6088,-0.024
ENSG00000253872,-0.024
ENSG00000200287,-0.024
RNU1-46P,-0.024
ENSG00000227679,-0.024
ENSG00000257863,-0.024
LIMS1,-0.024
LINC01799,-0.024
SPATA45,-0.024
RPL21P103,-0.024
LINC02928,-0.024
MIR522,-0.024
MTATP6P25,-0.024
ENSG00000276951,-0.024
ENSG00000280881,-0.024
TPM3P3,-0.024
RNU6-217P,-0.024
DLGAP5P1,-0.024
EMC3,-0.024
RN7SL5P,-0.024
ENSG00000259383,-0.024
ENSG00000283095,-0.024
UBR3,-0.024
OR5AP2,-0.024
ENSG00000239615,-0.024
RPS29P6,-0.024
MIR934,-0.024
USP17L26,-0.024
ENSG00000270695,-0.024
MIR8054,-0.024
ENSG00000258922,-0.024
ENSG00000225243,-0.024
RPS12P4,-0.024
ENSG00000274709,-0.024
ENSG00000252138,-0.024
RAB9AP2,-0.024
ENSG00000277635,-0.024
OR7E83P,-0.024
ENSG00000234589,-0.024
ENSG00000223869,-0.024
ENSG00000261058,-0.024
RNA5SP253,-0.024
PPP2R2DP1,-0.024
HMGN1P28,-0.024
DDTP1,-0.024
RPL23AP60,-0.024
ENSG00000250915,-0.024
TMEM88B,-0.024
ENSG00000250001,-0.024
ENSG00000274923,-0.024
ENSG00000225957,-0.024
MIR4699,-0.024
GUSBP3,-0.024
ENSG00000266968,-0.024
MED17,-0.024
NOXA1,-0.024
ZSWIM3,-0.024
RNU6ATAC13P,-0.024
MIR7156,-0.024
SNRNP27,-0.024
RN7SL362P,-0.024
ENSG00000236450,-0.024
ENSG00000252133,-0.024
XKRYP3,-0.024
ENSG00000279352,-0.024
ENSG00000274901,-0.024
ENSG00000278593,-0.024
CPNE4,-0.024
ENSG00000235450,-0.024
ENSG00000227549,-0.024
ENSG00000235895,-0.024
RPS6P25,-0.024
ENSG00000226838,-0.024
ENSG00000235932,-0.024
ENSG00000276738,-0.024
MIR548M,-0.024
ENSG00000279200,-0.024
RN7SKP277,-0.025
ENSG00000227683,-0.025
TTTY11,-0.025
RN7SL2,-0.025
ENSG00000279086,-0.025
ADAMTS8,-0.025
ENSG00000259044,-0.025
DUSP11,-0.025
MIR4726,-0.025
ENSG00000285559,-0.025
RNU6-712P,-0.025
USP9YP6,-0.025
ATP6V1E1P1,-0.025
PARGP1,-0.025
ENSG00000277662,-0.025
TOX4P1,-0.025
ENSG00000200969,-0.025
OR1M1,-0.025
OR7G2,-0.025
COL6A6,-0.025
RNU6-465P,-0.025
RNU6-300P,-0.025
ENSG00000213293,-0.025
ENSG00000249257,-0.025
RN7SL369P,-0.025
RNU1-30P,-0.025
RN7SKP13,-0.025
USP9YP21,-0.025
AQR,-0.025
ENSG00000249883,-0.025
ENSG00000250839,-0.025
ENSG00000273064,-0.025
RNU4ATAC8P,-0.025
SLC22A8,-0.025
CRACDL,-0.025
RN7SL234P,-0.025
SLC22A12,-0.025
ENSG00000279478,-0.025
OOSP2,-0.025
RPL17P3,-0.025
ENSG00000253170,-0.025
FBXO41,-0.025
STPG2-AS1,-0.025
ENSG00000201820,-0.025
PSKH2,-0.025
MIR361,-0.025
ENSG00000239661,-0.025
CDY6P,-0.025
OFD1P11Y,-0.025
ENSG00000242879,-0.025
ENSG00000234675,-0.025
ENSG00000212378,-0.025
MTND6P1,-0.025
ENSG00000250150,-0.025
RNU7-46P,-0.025
ENSG00000259149,-0.025
MIR4509-1,-0.025
MTND5P41,-0.025
RNU6-420P,-0.025
RNU6-342P,-0.025
ENSG00000270680,-0.025
ENSG00000260948,-0.025
NENFP3,-0.025
MTND2P31,-0.025
ENSG00000251412,-0.025
ENSG00000279341,-0.025
CSN2,-0.025
ENSG00000285993,-0.025
ENSG00000269125,-0.025
COX6CP10,-0.025
SDF2,-0.025
ENSG00000200049,-0.025
PRPF38A,-0.025
POLR1D,-0.025
USP17L24,-0.025
MIR4502,-0.025
ENSG00000270074,-0.025
ENSG00000224735,-0.025
RN7SL62P,-0.025
RFXAP,-0.025
CYP2C59P,-0.025
SETBP1-DT,-0.025
KRT2,-0.025
MIR5692A2,-0.025
RFPL4AP7,-0.025
HSFY8P,-0.025
ENSG00000239005,-0.025
PIFO,-0.025
LINC02330,-0.025
ENSG00000249735,-0.025
ENSG00000259425,-0.025
CNN2P11,-0.025
HPSE2,-0.025
ENSG00000225876,-0.025
ENSG00000254839,-0.025
MTCO3P28,-0.025
IGHD5OR15-5B,-0.025
SUGP2,-0.025
GAPDHP56,-0.025
MIR129-1,-0.025
IGHD1OR15-1A,-0.025
RPL13AP5,-0.025
TMPRSS11B,-0.025
ENSG00000282718,-0.025
FRRS1L,-0.025
RAB38,-0.025
ACTRT1,-0.025
MIR1255B1,-0.025
RNU6-573P,-0.025
ENSG00000271482,-0.025
RNU6-193P,-0.025
ENSG00000271971,-0.025
ENSG00000202269,-0.025
EEF1A1P6,-0.025
OR5G5P,-0.025
RPS29P11,-0.025
ENSG00000274664,-0.025
ENSG00000277509,-0.025
CDH17,-0.025
ENSG00000234735,-0.025
MIR548AJ1,-0.025
LRTM1,-0.025
RPS6P7,-0.025
MTND3P3,-0.025
ENSG00000272360,-0.025
HS1BP3-IT1,-0.025
ENSG00000226782,-0.025
ENSG00000205695,-0.025
ENSG00000253568,-0.025
ENSG00000223605,-0.025
MIR215,-0.025
ENSG00000226680,-0.025
ZNF101P1,-0.025
RN7SKP47,-0.025
CPSF1P2,-0.025
MIR548I4,-0.025
USP35,-0.025
ENSG00000279439,-0.025
ENSG00000200118,-0.025
RNU6-207P,-0.025
ENSG00000278126,-0.025
RNA5SP360,-0.025
UBE2V1P3,-0.025
RNU6-303P,-0.025
ENSG00000224282,-0.025
ENSG00000274295,-0.025
LINC01810,-0.025
ENSG00000199856,-0.025
ENSG00000249692,-0.025
ASB15,-0.025
ENSG00000230840,-0.025
RPP40P2,-0.025
FAM240A,-0.025
ENSG00000277618,-0.025
H2BP5,-0.025
PRKCE,-0.025
RNY3P5,-0.025
ENSG00000274791,-0.025
ENSG00000263369,-0.025
S100PBP,-0.025
MIR6823,-0.025
TTTY8,-0.025
TSPY16P,-0.025
ENSG00000230161,-0.025
RPL23AP93,-0.025
MIR302F,-0.025
MT-TI,-0.025
RNY1P7,-0.025
RPL23AP85,-0.025
PDE7B,-0.025
RN7SL238P,-0.025
MIR4509-2,-0.025
FCF1P9,-0.025
RPL9P21,-0.025
ENSG00000275696,-0.025
ENSG00000268731,-0.025
LINC02532,-0.025
WARS1,-0.025
ENSG00000249200,-0.025
VN1R40P,-0.025
RN7SL423P,-0.025
FTLP4,-0.025
MIR4330,-0.025
ENSG00000261025,-0.025
ENSG00000266644,-0.025
OR51A2,-0.025
RNU6-854P,-0.025
ENSG00000223504,-0.025
MIR4283-2,-0.025
KRTAP10-10,-0.025
ENSG00000200390,-0.025
MIR448,-0.025
ENSG00000252217,-0.025
GUSBP15,-0.025
RBMY2UP,-0.025
ENSG00000228352,-0.025
RNA5SP269,-0.025
RNU6-756P,-0.025
ENSG00000236796,-0.025
ENSG00000277369,-0.025
ENSG00000199595,-0.025
TEDDM2P,-0.025
OLFML1,-0.025
RNU6-246P,-0.025
ENSG00000253385,-0.025
RPL10P4,-0.025
RNU6-1018P,-0.025
SLC34A1,-0.025
ENSG00000206853,-0.025
ENSG00000280402,-0.025
CELF1,-0.025
ENSG00000199378,-0.025
PWWP4,-0.025
GPR19,-0.025
ENSG00000213252,-0.025
ENSG00000258765,-0.025
OR52Y1P,-0.025
ENSG00000260223,-0.025
ENSG00000223410,-0.025
SAMD10,-0.025
ENSG00000258130,-0.025
ENSG00000249135,-0.025
DNAJB6,-0.025
ENHO,-0.025
ENSG00000262899,-0.025
MTND2P39,-0.025
MIR7157,-0.025
MLLT10P1,-0.025
FAM185BP,-0.025
ENSG00000280450,-0.025
OR1C1,-0.025
RNU4-41P,-0.025
SNORA20B,-0.025
FKBP1AP2,-0.025
GNRHR2,-0.025
PENK,-0.025
PER3,-0.025
NXF2B,-0.025
RBMS1P1,-0.025
OR51Q1,-0.025
SCAT8,-0.025
RPS17P7,-0.025
ENSG00000254144,-0.025
CRYGFP,-0.025
ENSG00000283769,-0.025
ENSG00000250390,-0.025
RN7SKP175,-0.025
RNU6-1159P,-0.025
ENSG00000230821,-0.025
ENSG00000230175,-0.025
ENSG00000268764,-0.025
ENSG00000262881,-0.025
ENSG00000268163,-0.025
OR4F1P,-0.025
RNU4-20P,-0.025
ENSG00000248648,-0.025
ENSG00000257470,-0.025
ANP32A,-0.025
RN7SL449P,-0.025
ENSG00000237188,-0.025
TRNAU1AP,-0.025
RNU6-152P,-0.025
ZNF354A,-0.025
CST9LP2,-0.025
ASB16-AS1,-0.025
MIR2114,-0.025
CD44,-0.025
NSMCE1,-0.025
ENSG00000224917,-0.025
ENSG00000260850,-0.025
PIGV,-0.025
LUC7L3,-0.025
MIR4303,-0.025
EDA,-0.025
ENSG00000265547,-0.025
ENSG00000232999,-0.025
EEF1A1P19,-0.025
ENSG00000233703,-0.025
CKLF,-0.025
LINC01975,-0.025
ENSG00000261635,-0.025
KRT19P4,-0.025
ENSG00000226487,-0.025
ENSG00000231569,-0.025
MIR891B,-0.025
SPINT5P,-0.025
MTO1,-0.025
EEF1A1P4,-0.025
MIR514A2,-0.025
CTAGE14P,-0.025
ENSG00000254916,-0.025
MAG,-0.025
ENSG00000271418,-0.025
ENSG00000226010,-0.025
PPATP2,-0.026
MTCYBP39,-0.026
RNU7-190P,-0.026
ENSG00000201133,-0.026
HMGB1P44,-0.026
ENSG00000270200,-0.026
RBMY2NP,-0.026
RNASE8,-0.026
ENSG00000238761,-0.026
MTCYBP45,-0.026
ENSG00000273497,-0.026
ZNF451-AS1,-0.026
RN7SKP34,-0.026
TANGO6,-0.026
MAGEA13P,-0.026
RNA5SP386,-0.026
IGLVIV-65,-0.026
RANP9,-0.026
RNA5SP437,-0.026
OR10N1P,-0.026
KLHL12,-0.026
MIR6770-3,-0.026
RNU6-1022P,-0.026
DYRK4,-0.026
SLCO5A1,-0.026
ENSG00000254342,-0.026
SKP1P1,-0.026
RNA5SP218,-0.026
ENSG00000251352,-0.026
ENSG00000223930,-0.026
RNU2-38P,-0.026
ENSG00000233420,-0.026
ARIH2OS,-0.026
RNU6-608P,-0.026
SCN1A-AS1,-0.026
ENSG00000250438,-0.026
ENSG00000256149,-0.026
LINC02388,-0.026
ENSG00000276391,-0.026
ENSG00000257735,-0.026
MIR4283-1,-0.026
FAM227B,-0.026
ENSG00000241882,-0.026
DEFB107B,-0.026
OR10G8,-0.026
ENSG00000253067,-0.026
ENSG00000254701,-0.026
ENSG00000201465,-0.026
SNORD31B,-0.026
ENSG00000278004,-0.026
RPL31P9,-0.026
USP9YP36,-0.026
ENSG00000254935,-0.026
OR4D2,-0.026
MIR890,-0.026
MIR517B,-0.026
ENSG00000282912,-0.026
ENSG00000263622,-0.026
LINC01549,-0.026
RNU6-698P,-0.026
COX6B1P5,-0.026
PSMG3-AS1,-0.026
ENSG00000230112,-0.026
MTCO1P12,-0.026
MIR3672,-0.026
MIR4460,-0.026
ENSG00000269246,-0.026
ENSG00000260344,-0.026
RN7SL325P,-0.026
ENSG00000265222,-0.026
OR2D2,-0.026
RPS3AP4,-0.026
ENSG00000283076,-0.026
MROH1,-0.026
NMBR-AS1,-0.026
RNU7-155P,-0.026
ENSG00000272410,-0.026
ENSG00000231867,-0.026
ENSG00000230627,-0.026
ENSG00000200191,-0.026
MIR302E,-0.026
ARL2BPP6,-0.026
ENSG00000268218,-0.026
OR2M4,-0.026
SNORA44,-0.026
MTND4LP31,-0.026
PCAT14,-0.026
LINC01278,-0.026
ENSG00000249945,-0.026
LINC01628,-0.026
ENSG00000262456,-0.026
ENSG00000235862,-0.026
TRAPPC13,-0.026
MIR548H4,-0.026
ENSG00000228772,-0.026
ENSG00000274450,-0.026
ENSG00000207319,-0.026
IFNA10,-0.026
SELENOO,-0.026
ENSG00000274740,-0.026
CDYL2,-0.026
ENSG00000220139,-0.026
ENSG00000279491,-0.026
ENSG00000201944,-0.026
XKRYP6,-0.026
ENSG00000259528,-0.026
LINC02172,-0.026
MIR6821,-0.026
MRPS21P7,-0.026
ENSG00000234626,-0.026
MIR515-1,-0.026
ENSG00000237212,-0.026
RNU6-636P,-0.026
MIR1302-6,-0.026
ENSG00000218813,-0.026
CYP1A2,-0.026
MIR345,-0.026
ELOBP3,-0.026
GOLGA6L22,-0.026
MIR548BA,-0.026
ENSG00000254874,-0.026
RNU6-1078P,-0.026
ENSG00000230437,-0.026
B3GNTL1P2,-0.026
ENSG00000284720,-0.026
REV3L-IT1,-0.026
ENSG00000273679,-0.026
ENSG00000230794,-0.026
ENSG00000256814,-0.026
RNU1-56P,-0.026
ENSG00000272627,-0.026
RN7SKP136,-0.026
ENSG00000219529,-0.026
ENSG00000274422,-0.026
MIR3670-4,-0.026
HMGB4,-0.026
KCNJ6,-0.026
TSG101,-0.026
RNA5SP405,-0.026
ENSG00000255413,-0.026
LRBA,-0.026
ENSG00000201683,-0.026
RNA5SP198,-0.026
HEBP2,-0.026
ENSG00000235298,-0.026
KRTAP13-3,-0.026
SNORD113-2,-0.026
KATNBL1P2,-0.026
ENSG00000217746,-0.026
ENSG00000276064,-0.026
ENSG00000277717,-0.026
ENSG00000265712,-0.026
RPL7AP72,-0.026
MIR512-2,-0.026
ENSG00000225662,-0.026
C1ORF94,-0.026
CCNT2P1,-0.026
ENSG00000263189,-0.026
CDH23-AS1,-0.026
ENSG00000232930,-0.026
ENSG00000260368,-0.026
ENSG00000276266,-0.026
MIR518A2,-0.026
OR56A5,-0.026
GCNT1P1,-0.026
ENSG00000282909,-0.026
ENSG00000230623,-0.026
H2BC8,-0.026
ENSG00000261673,-0.026
ENSG00000252761,-0.026
ENSG00000283290,-0.026
H3P10,-0.026
ENSG00000199203,-0.026
SNORD113-8,-0.026
ENSG00000223966,-0.026
FAM41AY2,-0.026
IQCB1,-0.026
MIR6074,-0.026
ENSG00000253737,-0.026
ENSG00000231855,-0.026
ENSG00000199764,-0.026
ENSG00000223220,-0.026
ENSG00000250137,-0.026
LINC02400,-0.026
HMOX2,-0.026
ENSG00000279940,-0.026
ENSG00000236159,-0.026
PTP4A2,-0.026
ENSG00000200733,-0.026
ENSG00000227493,-0.026
ZNF609,-0.026
ENSG00000254655,-0.026
ENSG00000270698,-0.026
SNORA75B,-0.026
SNORD13,-0.026
ENSG00000284611,-0.026
ENSG00000258943,-0.026
MIR3615,-0.026
ENSG00000284658,-0.026
ENSG00000283659,-0.026
ENSG00000259617,-0.026
ACTG1P1,-0.026
RNA5SP222,-0.026
PUDPP1,-0.026
RNU6-364P,-0.026
ENSG00000233775,-0.026
ENSG00000227371,-0.026
LINC01900,-0.026
ELOCP17,-0.026
ENSG00000267623,-0.026
ENSG00000238516,-0.026
MIR609,-0.026
RN7SKP149,-0.026
DTNB,-0.026
DIAPH1,-0.026
ENSG00000276730,-0.026
ENSG00000279537,-0.026
SLC25A18P1,-0.026
ENSG00000271456,-0.026
ENSG00000274346,-0.026
LINC02569,-0.026
CDY2B,-0.026
ZNF646,-0.026
ENSG00000249436,-0.026
MAGED1,-0.026
ATP6V1G1,-0.026
ENSG00000276735,-0.026
REREP2Y,-0.026
DEFB4B,-0.026
LRRC37A13P,-0.026
RN7SKP76,-0.026
ENSG00000259995,-0.026
RTEL1P1,-0.026
RN7SL16P,-0.026
ENSG00000284692,-0.026
USP9YP25,-0.026
ENSG00000255367,-0.026
RNU5F-7P,-0.026
ENSG00000250383,-0.026
ENSG00000254568,-0.026
RPL5P14,-0.026
ENSG00000283065,-0.026
MIR526A1,-0.026
C16ORF90,-0.026
RRAD,-0.026
H2BL1P,-0.026
ENSG00000226578,-0.026
TRAPPC5,-0.026
USP9YP3,-0.026
ENSG00000271900,-0.026
MIR4636,-0.026
LINC02032,-0.026
IGKV2OR2-7D,-0.026
FABP12P1,-0.026
PCBP3-AS1,-0.026
USP17L5,-0.026
ENSG00000255211,-0.026
ENSG00000249320,-0.026
MIR527,-0.026
KRTAP10-4,-0.026
TPMT,-0.026
GTF3AP5,-0.026
ENSG00000276627,-0.026
ENSG00000254467,-0.026
ENSG00000238440,-0.026
RNU6-161P,-0.026
ZNF114P1,-0.026
RN7SL259P,-0.026
ENSG00000201398,-0.026
ENSG00000243314,-0.026
RPS26P39,-0.026
NQO2-AS1,-0.026
MIR548AE1,-0.026
MIR548A1,-0.026
ENSG00000259587,-0.026
LATS1,-0.026
RNU6-592P,-0.026
MTCO1P56,-0.026
RNU4-85P,-0.026
ENSG00000212397,-0.026
RNU6-849P,-0.026
ENSG00000254131,-0.026
ENSG00000283108,-0.026
RNU6-1326P,-0.026
ENSG00000273448,-0.026
RNU6-750P,-0.026
MIR2110,-0.026
ADRB3,-0.026
ENSG00000273870,-0.026
GATD3,-0.026
ENSG00000273891,-0.026
SNX2P2,-0.026
ENSG00000244527,-0.026
RPL9P6,-0.026
ENSG00000252517,-0.026
ENSG00000231495,-0.026
ENSG00000241596,-0.026
ENSG00000233995,-0.026
ENSG00000252199,-0.026
RNU7-43P,-0.026
ENSG00000271589,-0.026
RNU6-133P,-0.026
ENSG00000276782,-0.026
ENSG00000266988,-0.026
ENSG00000259869,-0.026
MIR526B,-0.026
LINC00433,-0.026
OR51A4,-0.026
ENSG00000276123,-0.026
MIR6082,-0.026
NAT1,-0.026
TRAPPC1,-0.026
MIR520B,-0.026
PRPF19-DT,-0.026
ENSG00000226484,-0.026
PHBP9,-0.027
RN7SKP131,-0.027
MIR516A2,-0.027
CRLF3P3,-0.027
MIR4521,-0.027
RNU1-74P,-0.027
IFNA16,-0.027
ENSG00000253339,-0.027
ENSG00000272237,-0.027
OR51B6,-0.027
FAM153DP,-0.027
SPDYE7P,-0.027
ENSG00000248262,-0.027
MTND4P35,-0.027
RPS7P6,-0.027
ELOCP7,-0.027
LINC00566,-0.027
RPL23AP6,-0.027
USP9YP12,-0.027
SNORA35B,-0.027
MIR6133,-0.027
ZCCHC8,-0.027
BCLAF1,-0.027
HPN-AS1,-0.027
TRIP12,-0.027
PYDC2,-0.027
FABP5P11,-0.027
TUSC2,-0.027
ENSG00000221753,-0.027
OR5BQ1P,-0.027
ENSG00000226595,-0.027
RN7SL565P,-0.027
ENSG00000248803,-0.027
RNU7-94P,-0.027
ENSG00000224600,-0.027
ENSG00000266601,-0.027
LINC02337,-0.027
MTND5P10,-0.027
MIR520H,-0.027
ZNF827,-0.027
MYCLP1,-0.027
MTCO2P23,-0.027
RNU6-391P,-0.027
CDY13P,-0.027
ANK3,-0.027
SUPT20HL1,-0.027
PIGG,-0.027
ENSG00000285811,-0.027
LINC02022,-0.027
RN7SL555P,-0.027
ENSG00000248335,-0.027
HDAC7,-0.027
MIR6715A,-0.027
ENSG00000278986,-0.027
ENSG00000230394,-0.027
OR6B3,-0.027
ENSG00000266279,-0.027
ENSG00000224645,-0.027
ENSG00000271546,-0.027
SEC61A2,-0.027
ENSG00000228429,-0.027
ENSG00000228484,-0.027
RNU6-1286P,-0.027
ENSG00000264290,-0.027
PPP1R9B,-0.027
RNU6-746P,-0.027
RNA5SP521,-0.027
MIR4671,-0.027
ABLIM1,-0.027
ENSG00000223969,-0.027
FAM53C,-0.027
RNU6-197P,-0.027
FBXO9,-0.027
ENSG00000235872,-0.027
ENSG00000252537,-0.027
GABPB2,-0.027
ALDH16A1,-0.027
MIR6715B,-0.027
RNU6-236P,-0.027
ENSG00000254682,-0.027
MIR7702,-0.027
ENSG00000226041,-0.027
ENSG00000248779,-0.027
ENSG00000267187,-0.027
ENSG00000229722,-0.027
ENSG00000263723,-0.027
C4BPB,-0.027
RNU7-56P,-0.027
MIR548A2,-0.027
IGHVII-67-1,-0.027
ZKSCAN2-DT,-0.027
RN7SL383P,-0.027
RPS18P13,-0.027
ENSG00000229747,-0.027
IGHVII-65-1,-0.027
ENSG00000277828,-0.027
RNU2-65P,-0.027
ENSG00000270510,-0.027
ENSG00000227045,-0.027
ENSG00000278080,-0.027
ENSG00000252550,-0.027
MT-ND2,-0.027
ENSG00000205300,-0.027
NDUFA10,-0.027
ENSG00000230298,-0.027
MIR6890,-0.027
ENSG00000220256,-0.027
ENSG00000228906,-0.027
C1DP4,-0.027
RPL31P61,-0.027
ENSG00000243171,-0.027
ENSG00000271094,-0.027
RAB28P3,-0.027
C16ORF82,-0.027
ENSG00000256315,-0.027
STX1B,-0.027
RN7SL813P,-0.027
ENSG00000274814,-0.027
THAP12P2,-0.027
ENSG00000248696,-0.027
CROCCP1,-0.027
ENSG00000199530,-0.027
TSPY17P,-0.027
PTPN20,-0.027
OFD1P18Y,-0.027
ENSG00000212604,-0.027
ENSG00000279724,-0.027
SOX14,-0.027
MTND3P7,-0.027
MIR518F,-0.027
ENSG00000222883,-0.027
LINC01323,-0.027
MTND4P2,-0.027
ENSG00000229110,-0.027
FGFR3P1,-0.027
DNALI1,-0.027
ENSG00000282300,-0.027
OR10J6P,-0.027
RAI1-AS1,-0.027
MIR320D2,-0.027
WDR59,-0.027
MIR1321,-0.027
GNRHR2P1,-0.027
RNU6-591P,-0.027
ENSG00000254987,-0.027
ENSG00000249072,-0.027
TLNRD1,-0.027
ENSG00000254675,-0.027
RNU6ATAC19P,-0.027
XPNPEP1,-0.027
LINC01889,-0.027
POLR3KP1,-0.027
ENSG00000248605,-0.027
ENSG00000283398,-0.027
ENSG00000267006,-0.027
PTP4A2P1,-0.027
ZNF736P7Y,-0.027
ENSG00000225378,-0.027
ENSG00000271860,-0.027
MTCYBP44,-0.027
RNU6-499P,-0.027
SPECC1P1,-0.027
RBMY2KP,-0.027
ARPC1B,-0.027
LINC02418,-0.027
DEFB113,-0.027
RNU6-166P,-0.027
RPLP2,-0.027
ENSG00000280614,-0.027
ENSG00000258637,-0.027
ATF7-NPFF,-0.027
DEFB104A,-0.027
PPP4R1,-0.027
RRM2B,-0.027
ENSG00000282668,-0.027
ENSG00000229177,-0.027
ENSG00000258803,-0.027
ATP1B3-AS1,-0.027
MIR3168,-0.027
LINC00280,-0.027
ENSG00000240027,-0.027
ENSG00000285798,-0.027
ENSG00000279147,-0.027
RN7SKP173,-0.027
ENSG00000267681,-0.027
USP9YP30,-0.027
NDUFA5P4,-0.027
ENSG00000280397,-0.027
RN7SL654P,-0.027
RNU6-989P,-0.027
RPL4P6,-0.027
PIGFP3,-0.027
RPSAP32,-0.027
RN7SL88P,-0.027
ENSG00000276213,-0.027
RNU6-518P,-0.027
MIR124-3,-0.027
ENSG00000233342,-0.027
ENSG00000272856,-0.027
CDKN2AIPNLP3,-0.027
FABP12,-0.027
TOGARAM1,-0.027
ENSG00000261140,-0.027
RPL9P15,-0.027
FAM90A7P,-0.027
ENSG00000266179,-0.027
PKIG,-0.027
ENSG00000220918,-0.027
ENSG00000201741,-0.027
GNG5P5,-0.027
LINC01487,-0.027
RDM1P4,-0.027
RNA5SP105,-0.027
ENSG00000206677,-0.027
MIR3684,-0.027
ENSG00000249725,-0.027
RN7SL581P,-0.027
RPL7P7,-0.027
ENSG00000274730,-0.027
RNU6-520P,-0.027
ENSG00000227138,-0.027
RPAP2,-0.027
NAV2-AS4,-0.027
ENSG00000250111,-0.027
MIR888,-0.027
ENSG00000231754,-0.027
RNA5SP139,-0.027
ENSG00000265964,-0.027
ENSG00000278991,-0.027
ENSG00000230352,-0.027
LINC02858,-0.027
RSPH14,-0.027
IL1R1,-0.027
RN7SL690P,-0.027
MIR516B1,-0.027
ENSG00000261081,-0.027
ENSG00000285584,-0.027
ENSG00000253111,-0.027
SPCS2,-0.027
ENSG00000254803,-0.027
ENSG00000267304,-0.027
ENSG00000277755,-0.027
ENSG00000251498,-0.027
MIR1302-4,-0.027
RNA5SP270,-0.027
NBPF10,-0.027
ENSG00000261376,-0.027
MYH6,-0.027
RNU6-192P,-0.027
ENSG00000276353,-0.027
RNU4-2,-0.027
ADGRE5,-0.027
ENSG00000201786,-0.027
HBZ,-0.027
ENSG00000248921,-0.027
ENSG00000238165,-0.027
ENSG00000260184,-0.027
ENSG00000271166,-0.027
ENSG00000255575,-0.027
ENSG00000251447,-0.027
LINC01791,-0.027
TEX28P1,-0.027
MIR514A3,-0.027
ENSG00000252225,-0.027
MIR518A1,-0.027
FTLP1,-0.027
RNU6-551P,-0.027
RPL21P116,-0.027
RPS3AP20,-0.027
RNA5SP346,-0.027
ENSG00000283977,-0.027
ENSG00000237716,-0.027
ENSG00000279100,-0.027
ZDHHC20,-0.027
MTHFS,-0.027
RNU6-690P,-0.027
NPIPA9,-0.027
MIR4533,-0.027
ENSG00000201810,-0.027
LINC01817,-0.027
UBL5P3,-0.027
RNU7-183P,-0.027
ENSG00000220076,-0.027
RNU6-203P,-0.027
ENSG00000260988,-0.027
CSMD2-AS1,-0.027
ENSG00000276388,-0.027
RN7SL426P,-0.027
RNU11-6P,-0.027
LRRCC1,-0.027
ENSG00000266311,-0.028
ENSG00000246308,-0.028
RNU6-1329P,-0.028
NKAIN2,-0.028
EIF4EBP2P1,-0.028
MIR545,-0.028
MYRF,-0.028
ENSG00000276039,-0.028
RNU6-578P,-0.028
ZNF398,-0.028
SEMA5A,-0.028
OR51N1P,-0.028
ENSG00000271410,-0.028
PLS1-AS1,-0.028
LCN1P1,-0.028
ENSG00000285987,-0.028
RPL7L1P10,-0.028
ENSG00000212594,-0.028
MS4A19P,-0.028
RNU2-51P,-0.028
ENSG00000253072,-0.028
OR10J5,-0.028
ENSG00000279632,-0.028
RNU6-1074P,-0.028
ENSG00000241612,-0.028
NIFKP7,-0.028
OGFR,-0.028
RNU6-1076P,-0.028
RNU6-506P,-0.028
ENSG00000253178,-0.028
WDR26,-0.028
MIR514A1,-0.028
RPS27P20,-0.028
ENSG00000278929,-0.028
MDH1P1,-0.028
RN7SL586P,-0.028
CFAP58,-0.028
RPL31P47,-0.028
ENSG00000230759,-0.028
HIRAP1,-0.028
RNU6-318P,-0.028
SNORC,-0.028
ENSG00000225408,-0.028
RNY4P20,-0.028
ENSG00000231272,-0.028
ENSG00000251248,-0.028
LINC00488,-0.028
RN7SKP285,-0.028
ENSG00000267794,-0.028
TAT,-0.028
RN7SL851P,-0.028
SCAANT1,-0.028
ENSG00000275197,-0.028
ENSG00000254753,-0.028
GAPDHP17,-0.028
LINC01392,-0.028
HPX,-0.028
ENSG00000255115,-0.028
LINC00698,-0.028
RNU6-912P,-0.028
RN7SL792P,-0.028
